channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename,Unnamed: 9
Bro Code,PHP switches explained,https://www.youtube.com/watch?v=f7Ejo1WgUtA,5/20/24,8:44,3476,96,3,phpswitchesexplained.txt,2
Bro Code,PHP logical operators explained,https://www.youtube.com/watch?v=Q5NoBVswShE,5/20/24,10:16,3666,102,4,phplogicaloperatorsexplained.txt,2
Bro Code,PHP if statements explained,https://www.youtube.com/watch?v=Kp35Sa2Qay0,5/20/24,10:23,4693,121,3,phpifstatementsexplained.txt,2
Bro Code,PHP useful math functions you should know,https://www.youtube.com/watch?v=nT5f5brN4xI,5/20/24,14:07,6228,176,4,phpusefulmathfunctionsyoushouldknow.txt,2
Bro Code,PHP $_GET and $_POST explained,https://www.youtube.com/watch?v=6AzAYU8AOhQ,5/20/24,11:43,10059,340,13,phpgetandpostexplained.txt,2
Bro Code,PHP arithmetic explained,https://www.youtube.com/watch?v=P5MDvSHT-F4,5/20/24,6:37,6684,154,7,phparithmeticexplained.txt,2
Bro Code,PHP variables and data types,https://www.youtube.com/watch?v=przRGJtl0HY,5/20/24,14:04,12132,275,9,phpvariablesanddatatypes.txt,2
Bro Code,PHP tutorial for beginners 🐘,https://www.youtube.com/watch?v=SI69DXbYHXU,5/20/24,13:59,48271,843,29,phptutorialforbeginners.txt,2
Bro Code,React Full Course for free ⚛️ (2024),https://www.youtube.com/watch?v=CgkZ7MvWUAA,1/16/24,4:43:02,1168108,26456,1158,reactfullcourseforfree2024.txt,2
Bro Code,Build a Stopwatch using React in 20 minutes! ⏱,https://www.youtube.com/watch?v=jPo0mIcNZfM,1/14/24,20:01,34400,802,48,buildastopwatchusingreactin20minutes.txt,2
Bro Code,React useRef() hook introduction 🗳️,https://www.youtube.com/watch?v=AltU-XcGvuo,1/12/24,11:18,15475,535,35,reactuserefhookintroduction.txt,2
Bro Code,React useContext() hook introduction 🧗‍♂️,https://www.youtube.com/watch?v=FpNfvbNYPsg,1/9/24,11:37,23664,961,88,reactusecontexthookintroduction.txt,2
Bro Code,Build a DIGITAL CLOCK using React in 15 minutes! 🕒,https://www.youtube.com/watch?v=AiQ-V_0qvRI,1/7/24,16:00,15664,431,41,buildadigitalclockusingreactin15minutes.txt,2
Bro Code,React useEffect() hook introduction 🌟,https://www.youtube.com/watch?v=L-1sP3Ljhsg,1/6/24,19:52,21846,701,44,reactuseeffecthookintroduction.txt,2
